# key -> sha1(source text)[:10]   game version 1.0.5000.13
BattleDialog/Ch_2_4_9_1_001	6f54ff5bbc
Book/Desc/3001	6fb67b93ad
Book/Desc/3002	db305d83e2
Book/Desc/3010	0451c2018f
Book/Desc/3020	c0633ebb2d
Book/Desc/4000	0952424c79
Book/Desc/4001	d3dc59a4a8
Book/Desc/4002	9de4cef11c
Book/Desc/4003	3fd43dfbbd
Book/Desc/4004	39244f1014
Book/Desc/4005	fe45adb167
Book/Desc/4006	e7e5d97125
Book/Desc/4008	72e248b877
Book/Desc/4009	f9e32b9221
Book/Desc/4010	749648b8a0
Book/Desc/4020	f71941fce2
Book/Desc/4030	ebd94c9a9c
Book/Desc/4040	fbd433dfb0
Book/Desc/6001	ca2f8d8242
Book/Desc/6002	389dd7a439
Book/Desc/6003	2b8945eb49
Book/Desc/6004	47de9e8077
Book/Desc/6005	5679df7066
Book/Desc/6006	bf4377e23c
Book/Desc/6007	4e21a4ba42
Book/Desc/6008	9446f87e89
Book/Desc/6009	33cedface8
Book/Desc/6010	e0bbe34f88
Book/Desc/6011	d6f338800f
Book/Desc/6012	7fdca6d820
Book/Desc/7000	d015cfadfb
Book/Desc/7001	66f389543f
Book/Desc/7002	b370127d4f
Book/Desc/7003	30d990527a
Book/Desc/7004	ed56f7428e
Book/Desc/7005	0cffa30ced
Book/Desc/7006	7c64a69abc
Book/Desc/7007	2e8bea1532
Book/Desc/7008	a11a643731
Book/Desc/7009	4f43f68def
Book/Desc/7010	8d96a89261
Book/Desc/7011	f638b5040a
Book/Desc/7012	d03e5fc3c8
Book/Desc/7013	36a3ba29cc
Book/Desc/7014	e55d49ad05
Book/Desc/7015	3be82bc4fe
Book/Desc/7016	f6226b71d3
Book/Desc/7017	d3003c1482
Book/Desc/7018	b485837886
Book/Desc/8000	8735340e82
Book/Desc/8001	3ff8ee1c12
Book/Desc/8003	e72eab62c8
Book/Desc/8004	5e5d7c90c5
Book/Desc/8005	6652270c8e
Book/Desc/8006	61280db9fc
Book/Desc/8007	91c6138318
Book/Desc/8008	0370093a94
Book/Desc/8009	5b6e836d0a
Book/Desc/8010	3346750f00
Book/Desc/8011	d411e99c5d
Book/Desc/8013	e219ab204d
Book/Desc/8100	a35d54a40f
Book/Desc/8101	4e14c016a0
Book/Desc/8102	512208d5b5
Book/Desc/8104	2df765da93
Book/Desc/8105	6832e412e1
Book/Desc/8106	181c011c9a
Book/Desc/8107	36b8ce3ffd
Book/Desc/8108	d0536bf4fc
Book/Desc/8109	340d5d073c
Book/Desc/9001	9bd0487a79
Book/Name/0000	f4dfed174d
Book/Name/1000	8b6dca1264
Book/Name/1010	54d9b1f7d5
Book/Name/1020	de57296041
Book/Name/1030	3c5c0442b9
Book/Name/2000	283b028c01
Book/Name/2001	4aead36041
Book/Name/2002	d5a11996d1
Book/Name/2003	aadfe3b051
Book/Name/2004	871b2c86f1
Book/Name/2005	f570e7e717
Book/Name/2006	a7fb239d8d
Book/Name/2007	d8bc4156e8
Book/Name/2008	d03f4e8bde
Book/Name/2009	6de6be15cb
Book/Name/2010	c46b121be6
Book/Name/2011	da870c9f2a
Book/Name/2200	23eee01a2e
Book/Name/2300	73a841dc15
Book/Name/2301	20a361b66d
Book/Name/2302	8f0087ce5b
Book/Name/2303	acbc5402b6
Book/Name/2400	066ca91de0
Book/Name/2401	dc41aa579e
Book/Name/3000	612d3489b4
Book/Name/3001	2646aca2c7
Book/Name/3002	01827f5d8a
Book/Name/3010	def7d02902
Book/Name/3020	9fde2fde0a
Book/Name/4000	0952424c79
Book/Name/4001	624ea55439
Book/Name/4002	1b4e57a9eb
Book/Name/4003	74a8d1fa94
Book/Name/4004	a09047a3e3
Book/Name/4005	175222d3c8
Book/Name/4006	5d55a4c3c6
Book/Name/4008	e3298e33ed
Book/Name/4009	ff6e94b2e7
Book/Name/4010	f9f9a54d04
Book/Name/4020	a18d57fc2e
Book/Name/4030	b2ac45573e
Book/Name/4040	05690067e5
Book/Name/6001	9cf459fe3c
Book/Name/6002	bdd9a42552
Book/Name/6003	772a013382
Book/Name/6004	488e1e88b2
Book/Name/6005	6b54e2b529
Book/Name/6006	fbe468cbcb
Book/Name/6007	34b3d59a18
Book/Name/6008	b9f2334275
Book/Name/6009	b37066e457
Book/Name/6010	0cbc52abe1
Book/Name/6011	f0b85e9ec4
Book/Name/6012	8c4d05742b
Book/Name/7000	d1e7b6a13f
Book/Name/7001	32ed17a406
Book/Name/7002	6a0dcae7cd
Book/Name/7003	8392bf2cbe
Book/Name/7004	91eb7c6588
Book/Name/7005	f00304da42
Book/Name/7006	299f11ae80
Book/Name/7007	46e972f078
Book/Name/7008	4398dbaf44
Book/Name/7009	affc4bde13
Book/Name/7010	b464e0a00a
Book/Name/7011	079949b3be
Book/Name/7012	af3d119fa0
Book/Name/7013	19ec311da7
Book/Name/7014	a6e5aac240
Book/Name/7015	f0b57a1781
Book/Name/7016	4a3d4f5ebf
Book/Name/7017	d3003c1482
Book/Name/7018	032a5b8218
Book/Name/8000	c135188122
Book/Name/8001	7ec23095c8
Book/Name/8003	793258b9af
Book/Name/8004	c764366619
Book/Name/8005	3fa7b58788
Book/Name/8006	154da5e62d
Book/Name/8007	b9243a80cd
Book/Name/8008	2bbcf1b349
Book/Name/8009	4f55e3f4aa
Book/Name/8010	c610963222
Book/Name/8011	4b208edf18
Book/Name/8013	6aab53a052
Book/Name/8100	c8cab505a4
Book/Name/8101	0c1c7a5e98
Book/Name/8102	9e28cb397c
Book/Name/8104	64f3e2e074
Book/Name/8105	2494c4fc4c
Book/Name/8106	23870184f9
Book/Name/8107	ae2edf91f9
Book/Name/8108	d1d65860a9
Book/Name/8109	4ee9565960
Book/Name/9001	cc5fb4c3c1
Character/artist1	a0c3cd421e
Character/artist2	a0c3cd421e
Character/artists	5b058ff5f3
Character/aunt1	0ef907efb4
Character/aunt2	0ef907efb4
Character/aunt3	0ef907efb4
Character/badguy1	92197fd5c1
Character/badguy2	92197fd5c1
Character/badguy3	92197fd5c1
Character/bandit1	195ce0e015
Character/bandit2	195ce0e015
Character/bandit3	195ce0e015
Character/bandit4	195ce0e015
Character/bandit5	195ce0e015
Character/beggar1	cadfda3ac5
Character/beggar2	cadfda3ac5
Character/beggar3	cadfda3ac5
Character/beggar4	cadfda3ac5
Character/beggar5	cadfda3ac5
Character/big_shock1	1a2a83d633
Character/big_trainee_1	e2cad93e49
Character/big_trainee_2	d4e108410e
Character/big_trainee_girl_1	db2f8f994b
Character/blacksmith1	70a9498d04
Character/blacksmith2	70a9498d04
Character/blacksmith3	70a9498d04
Character/boy1	5addc4e438
Character/brother1	ddab095a64
Character/brother1_0	b7488b6cb7
Character/brother1_1	1a1d2b7041
Character/brother1_2	ddab095a64
Character/brother1_young	b3337ced48
Character/brother2	ee76c7f78f
Character/brother2_young	e389672fd0
Character/brother3	47b68dc7fc
Character/brother3_young	47b68dc7fc
Character/brother4	e8429c3321
Character/chao1	b68e2fedfe
Character/chicken1	7dcf9fb9ba
Character/chicken2	7dcf9fb9ba
Character/chicken3	7dcf9fb9ba
Character/child_boy1	cd99ef83bf
Character/child_boy2	cd99ef83bf
Character/child_girl1	93dc309a56
Character/child_girl2	93dc309a56
Character/cow_man_1	21febf34c8
Character/daoshi311	3b4b285e37
Character/daoshi312	3b4b285e37
Character/daoshi313	3b4b285e37
Character/daoshi341	dae2720c38
Character/dio1	a0be41279a
Character/doctor1	3b1b393732
Character/dog1	2fcbe72fbf
Character/echo	28756b8fd1
Character/elder1	04681a29be
Character/elder101	6db2075f7a
Character/fairy1	ff12ed6d9a
Character/female1	1d8715c46f
Character/female2	1d8715c46f
Character/female3	1d8715c46f
Character/firebird1	120cc70502
Character/ghost1	673d53e254
Character/ghost2	673d53e254
Character/ghost3	673d53e254
Character/girl1	68dd7046bd
Character/girl1_1	b7488b6cb7
Character/girl2	478dcd2703
Character/girl2_1	22d9b9afb9
Character/girl2_2	478dcd2703
Character/girl2_3	b7488b6cb7
Character/girl2_3_1	65f3996228
Character/girl2_4	1cc69ad91f
Character/girl2_5	478dcd2703
Character/girl3	704d328b26
Character/girl3_1	b7488b6cb7
Character/girl4	a439ae16dd
Character/girl4_1	22d9b9afb9
Character/girl4_2	a439ae16dd
Character/girl5	00de15ffd1
Character/girl5_2	00de15ffd1
Character/girl5_3	7d2d65a031
Character/girl5_4	00de15ffd1
Character/girl5_5	00de15ffd1
Character/girl5_6	00de15ffd1
Character/girl6	e8e3bd7d7a
Character/girl6_1	e8e3bd7d7a
Character/girl6_2	e8e3bd7d7a
Character/girl7	5cbf706d17
Character/girl7_1	5cbf706d17
Character/girl7_2	5cbf706d17
Character/girl8	9352b8ada4
Character/girl8_0	22d9b9afb9
Character/girl8_1	9352b8ada4
Character/girl9	77dd58f5b9
Character/girl_group1	33cf7fe54f
Character/guard1	011eac0660
Character/guest1	94fc58b19c
Character/hero1	a04f931ce3
Character/hero2	a04f931ce3
Character/horse1	2d808ebf1e
Character/horse_man_1	8b58f5b558
Character/judgment1	db841b28fc
Character/lady1	2a2fe90dc4
Character/lee1	6d30427943
Character/magistrate1	a38482ab29
Character/mask1	1a1d2b7041
Character/mask2	1a1d2b7041
Character/mask3	1a1d2b7041
Character/master	4fa635bfe5
Character/master99	e730690cee
Character/mega_player	e12241804e
Character/merchant1	df28029e30
Character/mom1	b1bf975956
Character/monk1	ae3a017326
Character/monk2	ae3a017326
Character/monkey1	165a48ed5d
Character/oldbeggar1	d8eb93faa7
Character/oldbeggar2	d8eb93faa7
Character/parrot1	a22e50183a
Character/people1	61cb2726ff
Character/pig1	6ebf6cd7eb
Character/pirate1	c6c0650227
Character/pirate2	c6c0650227
Character/pirate3	c6c0650227
Character/player	caae071b1e
Character/player_ass	63fd1008a1
Character/player_child	2f13bb8a2f
Character/player_imagine	caae071b1e
Character/player_old	caae071b1e
Character/player_section	caae071b1e
Character/player_soul	caae071b1e
Character/player_young	c28ff45074
Character/ranger1	520406ffe4
Character/ranger2	520406ffe4
Character/ranger3	520406ffe4
Character/ranger4	a6483f7a3f
Character/ranger5	520406ffe4
Character/ranger_girl1	1091e63d35
Character/ranger_group	f4b63fdc71
Character/retainer1	58ef8d9f0b
Character/retainer2	58ef8d9f0b
Character/retainer3	58ef8d9f0b
Character/scholar1	803e9ec788
Character/scholar2	803e9ec788
Character/sedan_talker_1	e3c31538ae
Character/shopman1	3fc722ee10
Character/showgirl1	57f5ad6051
Character/sir1	a6e9f6d970
Character/sister1	2903bd0a57
Character/snake1	67bcd6875b
Character/soldier1	1d25593ddc
Character/soldier2	1d25593ddc
Character/soldier21	612f9e3de6
Character/soldier22	612f9e3de6
Character/soldier23	612f9e3de6
Character/soldier3	1d25593ddc
Character/soldier31	f490b07dd0
Character/soldier41	a957c78c3e
Character/soldier42	a957c78c3e
Character/soldier51	9707023a34
Character/soldier61	650c53f82a
Character/soldier62	650c53f82a
Character/soldier63	650c53f82a
Character/soldier71	f940ef554c
Character/soldier72	f940ef554c
Character/soldier73	f940ef554c
Character/soldier81	998fc294ce
Character/soldier82	998fc294ce
Character/soldier83	998fc294ce
Character/special1	95b0c6acba
Character/special101	c43e7df7f5
Character/special102	e4caff43e0
Character/special102_1	e4caff43e0
Character/special103	5962a91073
Character/special104	bc291fb0c9
Character/special1_1	460824a7e3
Character/special2	ef9a6adafe
Character/special201	846db907f9
Character/special202	eafa9928e8
Character/special203	1ea820f4d6
Character/special204	af999e9c8c
Character/special205	8c8b5d52d8
Character/special206	6bf0f9b7f6
Character/special206_2	6bf0f9b7f6
Character/special207	e656b3ff9e
Character/special207_1	e656b3ff9e
Character/special208	99868e41e8
Character/special208_1	99868e41e8
Character/special209	a63d0206e9
Character/special210	eb729c0b74
Character/special211	92e29d220f
Character/special211_1	92e29d220f
Character/special212	4a5aecb68e
Character/special212_1	86ce267e47
Character/special212_2	dd291aa439
Character/special213_0	b7488b6cb7
Character/special2_1	b7488b6cb7
Character/special3	1657024619
Character/special3_1	35588420be
Character/special3_2	1657024619
Character/special4	55b3e6d8de
Character/special401	ded72b3830
Character/special402	1c16b3f3ff
Character/special402_1	1c16b3f3ff
Character/special402_2	1c16b3f3ff
Character/special402_3	84f199e541
Character/special403	bf9af1a760
Character/special404	a4c2c83231
Character/special405	c06959f6f8
Character/special406	a0d3f5a2af
Character/special407	54bf829fc6
Character/special408	6713dd5b4c
Character/special409	d22d356d94
Character/special410	5742740134
Character/special5	8b641e688a
Character/special5_1	b7488b6cb7
Character/special6	59d9a374c4
Character/special6_1	b7488b6cb7
Character/special7	e1d5477c96
Character/special800	98fa597f8f
Character/special801	43830681bb
Character/special802	9ab9adb460
Character/special802_0	b7488b6cb7
Character/special803	9ed4b14440
Character/special803_0	df28029e30
Character/special804	5f1c15c4e2
Character/special805	3018391d23
Character/special805_0	b7488b6cb7
Character/special806	9ffc0061e3
Character/special807	c4b155e469
Character/special808	edd2438ae4
Character/special808_0	b7488b6cb7
Character/special809	a4b9ce1571
Character/special810	270b4832b4
Character/special811	a4ab81aaba
Character/special812	7ad96c9beb
Character/special812_1	7ad96c9beb
Character/special813	d45d6af081
Character/special813_1	d45d6af081
Character/special813_2	d45d6af081
Character/special814	ae58d01087
Character/special815	4cd3f71bd8
Character/special816	e9e5165bad
Character/special817	83e6ffd5dc
Character/special818	4b617877e6
Character/special819	fe62595c59
Character/special820	c2804541d9
Character/special821	39467d3d52
Character/special822	1a307f0238
Character/special823	c5bd0a7017
Character/special824	94ed986948
Character/special825	541f8de8b3
Character/special826	88ea6b6e8f
Character/special827	b17f6348ef
Character/special828	23fcaab51e
Character/special829	0ef7c5b616
Character/special830	160c4ca46f
Character/special831	c30829adf1
Character/special832	4565d597c7
Character/special833	9023f8731d
Character/special834	75ab45c3b2
Character/special835	c4708bc57f
Character/special835_1	c4708bc57f
Character/special836	2b0698cdb9
Character/special837	d699fa6ba2
Character/special999	fb9b967f36
Character/special999_0	b7488b6cb7
Character/special999_1	5fce7e34b5
Character/stone_trainee_1	f3cbf3ef25
Character/stone_trainee_2	f3cbf3ef25
Character/stone_trainee_3	f3cbf3ef25
Character/stone_trainee_4	f3cbf3ef25
Character/stone_trainees	e900995abd
Character/stranger1	3936da578d
Character/stranger2	3936da578d
Character/stranger3	3936da578d
Character/student1	0e81819eca
Character/student2	0e81819eca
Character/student3	0e81819eca
Character/tank1	6cb8f7d7e7
Character/trainee010	e2cad93e49
Character/trainee011	e2cad93e49
Character/trainee012	e2cad93e49
Character/trainee020	e2cad93e49
Character/trainee021	e2cad93e49
Character/trainee022	e2cad93e49
Character/trainee023	e2cad93e49
Character/trainee024	e2cad93e49
Character/trainee030	e2cad93e49
Character/trainee1	e2cad93e49
Character/trainee101	c1f287751e
Character/trainee102	c1f287751e
Character/trainee103	c1f287751e
Character/trainee104	c1f287751e
Character/trainee111	24a06487f1
Character/trainee112	24a06487f1
Character/trainee113	24a06487f1
Character/trainee121	e397e11156
Character/trainee122	e397e11156
Character/trainee2	e2cad93e49
Character/trainee201	321b28cc8d
Character/trainee202	321b28cc8d
Character/trainee203	321b28cc8d
Character/trainee204	321b28cc8d
Character/trainee211	1228841dfa
Character/trainee212	1228841dfa
Character/trainee213	1228841dfa
Character/trainee214	1228841dfa
Character/trainee215	1228841dfa
Character/trainee215_1	1228841dfa
Character/trainee221	4d196b7eb2
Character/trainee222	4d196b7eb2
Character/trainee223	4d196b7eb2
Character/trainee224	4d196b7eb2
Character/trainee231	9363d533ab
Character/trainee232	9363d533ab
Character/trainee233	9363d533ab
Character/trainee234	9363d533ab
Character/trainee3	e2cad93e49
Character/trainee301	ffd9fe9c12
Character/trainee302	ffd9fe9c12
Character/trainee303	ffd9fe9c12
Character/trainee304	ffd9fe9c12
Character/trainee305	ffd9fe9c12
Character/trainee311	66d663f980
Character/trainee312	66d663f980
Character/trainee313	66d663f980
Character/trainee314	66d663f980
Character/trainee315	66d663f980
Character/trainee316	66d663f980
Character/trainee317	66d663f980
Character/trainee321	1001684b31
Character/trainee322	1001684b31
Character/trainee323	1001684b31
Character/trainee323_1	1001684b31
Character/trainee324	1001684b31
Character/trainee331	7e7782f025
Character/trainee332	7e7782f025
Character/trainee333	7e7782f025
Character/trainee334	7e7782f025
Character/trainee335	7e7782f025
Character/trainee335_1	7e7782f025
Character/trainee341	6b49075f6b
Character/trainee342	6b49075f6b
Character/trainee343	6b49075f6b
Character/trainee344	6b49075f6b
Character/trainee345	6b49075f6b
Character/trainee345_1	6b49075f6b
Character/trainee351	7eea3db960
Character/trainee352	7eea3db960
Character/trainee353	7eea3db960
Character/trainee361	20bc91ef29
Character/trainee362	20bc91ef29
Character/trainee363	20bc91ef29
Character/trainee371	3962377a41
Character/trainee4	e2cad93e49
Character/trainee401	e17bd76319
Character/trainee402	e17bd76319
Character/trainee421	9181ae39b0
Character/trainee422	9181ae39b0
Character/trainee491	8b6c13f30a
Character/trainee492	8b6c13f30a
Character/trainee493	8b6c13f30a
Character/trainee494	8b6c13f30a
Character/trainee495	8b6c13f30a
Character/trainee496	8b6c13f30a
Character/trainee5	e2cad93e49
Character/trainee6	e2cad93e49
Character/trainee7	e2cad93e49
Character/trainee8	e2cad93e49
Character/trainee9	e2cad93e49
Character/trainee_girl1	33be73db1e
Character/trainee_girl10	33be73db1e
Character/trainee_girl2	33be73db1e
Character/trainee_girl3	33be73db1e
Character/trainee_girl4	33be73db1e
Character/trainee_girl5	33be73db1e
Character/trainee_girl6	33be73db1e
Character/trainee_girl7	33be73db1e
Character/trainee_girl8	33be73db1e
Character/trainee_girl9	33be73db1e
Character/trainees	ce514ce58f
Character/unknown	b7488b6cb7
Character/waiter1	f265c17401
Character/waiter2	f265c17401
Character/waiter3	f265c17401
Character/wolf1	84d60844b7
Character/women1	8e7c2d840c
Character/women2	8e7c2d840c
Character/women3	8e7c2d840c
Character/women4	8e7c2d840c
Character/women411	2765f10dff
Character/woodcutter1	e936cc8591
CharacterIntro0/brother1	ea2be20ce5
CharacterIntro0/brother2	9928f50a22
CharacterIntro0/brother3	ddf8759ded
CharacterIntro0/brother4	df6902bb85
CharacterIntro0/girl1	68dd7046bd
CharacterIntro0/girl2	802de259e2
CharacterIntro0/girl2_3_1	7338c0cbcd
CharacterIntro0/girl2_4	2d0f7b7d66
CharacterIntro0/girl4	cbb4ca746a
CharacterIntro0/girl5	66ccbcde36
CharacterIntro0/girl6	b67f31cc32
CharacterIntro0/girl7	00da5a54c7
CharacterIntro0/girl8	9b91b88338
CharacterIntro0/girl9	f4da775c21
CharacterIntro0/master	f31325f4a2
CharacterIntro0/sister1	2b7d4348ab
CharacterIntro0/special102	a2e552ed84
CharacterIntro0/special103	8ece19af42
CharacterIntro0/special2	9e9683c760
CharacterIntro0/special205	4c06252170
CharacterIntro0/special206	99527b0b92
CharacterIntro0/special3	c2fa8e147b
CharacterIntro0/special4	57bb1d1f72
CharacterIntro0/special401	9cd7a80ffe
CharacterIntro0/special404	e7d3a345d6
CharacterIntro0/special405	17bfb9f0f2
CharacterIntro0/special6	b65f2aae4f
CharacterIntro0/special7	7d4e6eff3e
CharacterIntro0/special800	92635af4b2
CharacterIntro0/special808	3495c5b81d
CharacterIntro0/special809	db04da1d73
CharacterIntro0/special825	470d10b911
CharacterIntro0/special999	9159e3109d
CharacterIntro1/brother1	2816b7e60f
CharacterIntro1/brother2	8a59e6be5c
CharacterIntro1/brother3	ba0d881e26
CharacterIntro1/brother4	3f6179c977
CharacterIntro1/girl1	68dd7046bd
CharacterIntro1/girl2	4e4bd82774
CharacterIntro1/girl4	cbb4ca746a
CharacterIntro1/girl5	262cc0c5ea
CharacterIntro1/girl6	05a4ca425f
CharacterIntro1/girl7	2840896e7a
CharacterIntro1/girl8	30824d6b14
CharacterIntro1/girl9	a7021cfa7f
CharacterIntro1/master	9bc6833c5c
CharacterIntro1/sister1	7c93f73046
CharacterIntro1/special102	db15b3ccd9
CharacterIntro1/special103	1991dd205a
CharacterIntro1/special205	8fcb1d717d
CharacterIntro1/special206	2b441c7852
CharacterIntro1/special3	955aa6209c
CharacterIntro1/special4	b3451623e1
CharacterIntro1/special401	bca03e7b09
CharacterIntro1/special404	e1dec61cf7
CharacterIntro1/special405	7442df3714
CharacterIntro1/special6	50464e6449
CharacterIntro1/special7	54fc401b80
CharacterIntro1/special800	4fa3523d17
CharacterIntro1/special808	70d9e71aa5
CharacterIntro1/special809	8357553f86
CharacterIntro1/special825	3758c34b58
CharacterIntro1/special999	c9e1ac79e1
CharacterIntro2/brother1	837a7512f7
CharacterIntro2/brother2	21387bca57
CharacterIntro2/brother3	62b39b80ea
CharacterIntro2/brother4	9167a0e6b2
CharacterIntro2/girl2	310a298f38
CharacterIntro2/girl4	5f77533e2d
CharacterIntro2/girl5	2f138d979d
CharacterIntro2/girl6	e6621c229e
CharacterIntro2/girl7	d3db93b316
CharacterIntro2/girl8	5c984a175e
CharacterIntro2/master	9b7db1b46a
CharacterIntro2/sister1	78b0989a47
CharacterIntro2/special102	dd39ccfeca
CharacterIntro2/special103	c8b70d4a10
CharacterIntro2/special3	43a800976d
CharacterIntro2/special4	0d16be279d
CharacterIntro2/special401	c83e0e8a7a
CharacterIntro2/special6	ac8b55de05
CharacterIntro2/special7	70c7173129
CharacterIntro2/special800	f37bc527ac
CharacterIntro2/special999	0133e33f34
CharacterIntro3/brother1	da0e1b39cc
CharacterIntro3/brother2	d3bd9befa9
CharacterIntro3/brother3	fbe8853860
CharacterIntro3/brother4	2e08872ae3
CharacterIntro3/girl2	884be331e1
CharacterIntro3/girl4	0f725383d5
CharacterIntro3/girl5	417551ef58
CharacterIntro3/girl6	89a5c14add
CharacterIntro3/girl7	bff58b57c5
CharacterIntro3/girl8	6292fe5933
CharacterIntro3/master	6fdac992e0
CharacterIntro3/sister1	fff1ec8aa3
CharacterIntro3/special3	890f8f4bc8
CharacterIntro3/special4	5f85773de4
CharacterIntro3/special6	eb3c30cda8
CharacterIntro3/special7	4c96bd4b17
CharacterIntro3/special999	da39a3ee5e
CharacterIntro4/brother4	9cb8355b1f
CharacterIntro4/girl2	1daf2378dd
CharacterIntro4/girl4	4abd197e8d
CharacterIntro4/girl5	e2e103c738
CharacterIntro4/girl6	b570515b27
CharacterIntro4/girl7	9e1cfb33ef
CharacterIntro4/girl8	da39a3ee5e
CharacterIntro4/sister1	c24f299f51
CharacterIntro4/special3	a353bbed1c
CharacterIntro4/special4	da2108bcb6
CharacterIntro4/special6	30f7a20f2b
CharacterIntro4/special7	981bd72e1c
CharacterIntro4/special999	da39a3ee5e
CharacterTitle/brother1	1016a69455
CharacterTitle/brother1_2	1016a69455
CharacterTitle/brother2	92e14f2de6
CharacterTitle/brother3	de82049e48
CharacterTitle/brother4	7475446081
CharacterTitle/girl1	0733ce36c4
CharacterTitle/girl2	ddedff6826
CharacterTitle/girl4	da39a3ee5e
CharacterTitle/girl5	74999dc400
CharacterTitle/girl6	b91c9ae508
CharacterTitle/girl7	f27efab2b7
CharacterTitle/girl7_2	f27efab2b7
CharacterTitle/girl8	a396844e76
CharacterTitle/girl9	341a3a11e6
CharacterTitle/master	33d17a1f1b
CharacterTitle/player	e40b3d8828
CharacterTitle/sister1	69a4996a94
