#dict_line	n_speakers	speaker_tags	names	gender
5435	22	big_trainee_girl_1|brother3|girl2|girl4|girl5|girl9|player|ranger2|sister1|special203|special3|special408|special809|special999|trainee023|trainee2|trainee312|trainee331|trainee332|trainee421|trainee_girl1|trainees	唐娇娇|唐升|叶云裳|龙湘|虞小梅|上官萤|赵活|路人侠|唐默铃|听海生|叶云舟|向无忧|李富贵|瑞笙|唐门弟子|唐门弟子|青城弟子|嵩山弟子|嵩山弟子|峨嵋女弟子|唐门女弟子|唐门众弟子	MIX
5437	1	brother3	唐升	M?
5479	1	special407	上官隼	M?
5483	1	girl2	叶云裳	F
5534	4	beggar1|brother1|player|special403	乞丐|唐布衣|赵活|赵逵	M?
5537	85	beggar1|brother1|brother2|brother3|brother4|daoshi311|daoshi312|daoshi313|elder101|girl1|girl2|girl4|girl5|girl6|girl7|girl8|girl9|hero2|mask1|master|oldbeggar1|player|player_old|ranger4|sir1|sister1|special101|special102|special102_1|special103|special2|special201|special202|special203|special206|special207|special208|special212|special3|special3_2|special4|special401|special402|special402_1|special403|special405|special407|special408|special7|special800|special801|special804|special807|special808|special809|special811|special813_1|special815|special820|special826|special827|special832|special834|special835|special835_1|special999|stranger1|trainee010|trainee011|trainee1|trainee121|trainee2|trainee201|trainee214|trainee222|trainee231|trainee301|trainee312|trainee321|trainee342|trainee361|trainee8|trainee_girl2|trainees|unknown	乞丐|唐布衣|唐铮|唐升|唐惟元|青城长老|青城长老|青城长老|南宫老人|瑞杏|叶云裳|龙湘|虞小梅|夏侯兰|郁竹|魏菊|上官萤|少侠|蒙面人|唐中翎|老乞丐|赵活|赵活|公子侠|先生|唐默铃|南宫远|南宫深|南宫深|南宫浅|龙渊|邹博|观云客|听海生|福韫|金乌上人|晁和|铁冠道人|叶云舟|叶云舟|樊啸天|王二壮|温夫人|温夫人|赵逵|申屠龙|上官隼|向无忧|石公远|宋悲|谭霸刀|雷谦|吕翁|解无尘|李富贵|唐衫|画中仙|石夫人|第三香|释明|沧帮帮主|唐芳|段智秀|南宫己|南宫己|瑞笙|路人|唐门弟子|唐门弟子|唐门弟子|泥教弟子|唐门弟子|飞天弟子|铁拳弟子|夺魄弟子|玄功弟子|点苍弟子|青城弟子|峨嵋弟子|全真弟子|岭南弟子|唐门弟子|唐门女弟子|唐门众弟子|？？？	MIX
5542	12	brother2|brother3|girl7|oldbeggar1|player|special104|special201|special6|special800|special808|special999|trainee221	唐铮|唐升|郁竹|老乞丐|赵活|南宫横|邹博|万里鹏程|宋悲|解无尘|瑞笙|夺魄弟子	MIX
5564	4	brother3|player|special820|special826	唐升|赵活|第三香|释明	M?
5589	17	daoshi311|girl4|girl5|horse_man_1|people1|player|player_section|sister1|soldier1|special811|trainee101|trainee103|trainee111|trainee112|trainee491|trainee493|trainee495	青城长老|龙湘|虞小梅|马面|众人|赵活|赵活|唐默铃|官兵|唐衫|南宫家丁|南宫家丁|沧帮弟子|沧帮弟子|锦香弟子|锦香弟子|锦香弟子	MIX
5594	1	player	赵活	M?
5636	3	player|ranger4|special207	赵活|公子侠|金乌上人	M?
5673	1	player	赵活	M?
5696	2	daoshi313|special102	青城长老|南宫深	M?
5698	2	player|sister1	赵活|唐默铃	MIX
5701	4	brother1|girl2|player|special813	唐布衣|叶云裳|赵活|画中仙	MIX
5705	4	brother1|girl2|player|special813	唐布衣|叶云裳|赵活|画中仙	MIX
5709	4	brother1|girl2|player|special813	唐布衣|叶云裳|赵活|画中仙	MIX
5715	4	brother1|girl2|player|special813	唐布衣|叶云裳|赵活|画中仙	MIX
5720	17	daoshi311|girl4|girl5|horse_man_1|people1|player|player_section|sister1|soldier1|special811|trainee101|trainee103|trainee111|trainee112|trainee491|trainee493|trainee495	青城长老|龙湘|虞小梅|马面|众人|赵活|赵活|唐默铃|官兵|唐衫|南宫家丁|南宫家丁|沧帮弟子|沧帮弟子|锦香弟子|锦香弟子|锦香弟子	MIX
5722	10	brother1|brother2|girl2|player_old|sister1|special102|special407|special7|special826|trainee323	唐布衣|唐铮|叶云裳|赵活|唐默铃|南宫深|上官隼|石公远|释明|峨嵋弟子	MIX
5726	1	special402	温夫人	M?
5727	1	player	赵活	M?
5731	4	brother1|girl2|player|special813	唐布衣|叶云裳|赵活|画中仙	MIX
5743	2	player|sister1	赵活|唐默铃	MIX
5757	21	brother3|girl2|girl4|girl5|girl7|girl9|master|player|player_young|sister1|special102|special104|special201|special3_1|special802|special815|special999|trainee1|trainee121|trainee122|trainee312	唐升|叶云裳|龙湘|虞小梅|郁竹|上官萤|唐中翎|赵活|少年赵活|唐默铃|南宫深|南宫横|邹博|斗笠人|辛儒|石夫人|瑞笙|唐门弟子|泥教弟子|泥教弟子|青城弟子	MIX
5774	85	beggar1|brother1|brother2|brother3|brother4|daoshi311|daoshi312|daoshi313|elder101|girl1|girl2|girl4|girl5|girl6|girl7|girl8|girl9|hero2|mask1|master|oldbeggar1|player|player_old|ranger4|sir1|sister1|special101|special102|special102_1|special103|special2|special201|special202|special203|special206|special207|special208|special212|special3|special3_2|special4|special401|special402|special402_1|special403|special405|special407|special408|special7|special800|special801|special804|special807|special808|special809|special811|special813_1|special815|special820|special826|special827|special832|special834|special835|special835_1|special999|stranger1|trainee010|trainee011|trainee1|trainee121|trainee2|trainee201|trainee214|trainee222|trainee231|trainee301|trainee312|trainee321|trainee342|trainee361|trainee8|trainee_girl2|trainees|unknown	乞丐|唐布衣|唐铮|唐升|唐惟元|青城长老|青城长老|青城长老|南宫老人|瑞杏|叶云裳|龙湘|虞小梅|夏侯兰|郁竹|魏菊|上官萤|少侠|蒙面人|唐中翎|老乞丐|赵活|赵活|公子侠|先生|唐默铃|南宫远|南宫深|南宫深|南宫浅|龙渊|邹博|观云客|听海生|福韫|金乌上人|晁和|铁冠道人|叶云舟|叶云舟|樊啸天|王二壮|温夫人|温夫人|赵逵|申屠龙|上官隼|向无忧|石公远|宋悲|谭霸刀|雷谦|吕翁|解无尘|李富贵|唐衫|画中仙|石夫人|第三香|释明|沧帮帮主|唐芳|段智秀|南宫己|南宫己|瑞笙|路人|唐门弟子|唐门弟子|唐门弟子|泥教弟子|唐门弟子|飞天弟子|铁拳弟子|夺魄弟子|玄功弟子|点苍弟子|青城弟子|峨嵋弟子|全真弟子|岭南弟子|唐门弟子|唐门女弟子|唐门众弟子|？？？	MIX
5776	17	brother1_2|brother3|fairy1|girl4|player|sister1|special2|special206|special208|special4|special808|special809|trainee1|trainee211|trainee303|trainee421|trainee_girl1	唐布衣|唐升|仙姑|龙湘|赵活|唐默铃|龙渊|福韫|晁和|樊啸天|解无尘|李富贵|唐门弟子|铁拳弟子|点苍弟子|峨嵋女弟子|唐门女弟子	MIX
5778	1	girl5	虞小梅	F
5786	2	elder101|player	南宫老人|赵活	M?
5788	14	brother3|brother4|daoshi313|girl2|girl4|girl9|player|special208|special809|special832|trainee1|trainee202|trainee221|women3	唐升|唐惟元|青城长老|叶云裳|龙湘|上官萤|赵活|晁和|李富贵|唐芳|唐门弟子|飞天弟子|夺魄弟子|妇人	MIX
5789	14	brother3|brother4|daoshi313|girl2|girl4|girl9|player|special208|special809|special832|trainee1|trainee202|trainee221|women3	唐升|唐惟元|青城长老|叶云裳|龙湘|上官萤|赵活|晁和|李富贵|唐芳|唐门弟子|飞天弟子|夺魄弟子|妇人	MIX
5794	20	brother1|girl2|girl4|girl5|girl8|player|ranger2|ranger_girl1|sister1|special103|special407|special7|special811|trainee011|trainee1|trainee103|trainee104|trainee2|trainee343|unknown	唐布衣|叶云裳|龙湘|虞小梅|魏菊|赵活|路人侠|女侠|唐默铃|南宫浅|上官隼|石公远|唐衫|唐门弟子|唐门弟子|南宫家丁|南宫家丁|唐门弟子|全真弟子|？？？	MIX
5796	2	player|special812	赵活|唐守鸿	M?
5801	20	brother1|girl2|girl4|girl5|girl8|player|ranger2|ranger_girl1|sister1|special103|special407|special7|special811|trainee011|trainee1|trainee103|trainee104|trainee2|trainee343|unknown	唐布衣|叶云裳|龙湘|虞小梅|魏菊|赵活|路人侠|女侠|唐默铃|南宫浅|上官隼|石公远|唐衫|唐门弟子|唐门弟子|南宫家丁|南宫家丁|唐门弟子|全真弟子|？？？	MIX
5831	12	brother1|girl2|girl6|mask2|people1|player|special1|special102|special3|special407|special999|trainees	唐布衣|叶云裳|夏侯兰|蒙面人|众人|赵活|刘颚|南宫深|叶云舟|上官隼|瑞笙|唐门众弟子	MIX
5833	1	trainee1	唐门弟子	M?
5840	2	special404|trainee332	丹霞子|嵩山弟子	M?
5872	20	brother1|girl2|girl4|girl5|girl8|player|ranger2|ranger_girl1|sister1|special103|special407|special7|special811|trainee011|trainee1|trainee103|trainee104|trainee2|trainee343|unknown	唐布衣|叶云裳|龙湘|虞小梅|魏菊|赵活|路人侠|女侠|唐默铃|南宫浅|上官隼|石公远|唐衫|唐门弟子|唐门弟子|南宫家丁|南宫家丁|唐门弟子|全真弟子|？？？	MIX
5883	8	brother1|brother3|girl4|player|sister1|special102|special3|special807	唐布衣|唐升|龙湘|赵活|唐默铃|南宫深|叶云舟|吕翁	MIX
5889	21	brother3|girl2|girl4|girl5|girl7|girl9|master|player|player_young|sister1|special102|special104|special201|special3_1|special802|special815|special999|trainee1|trainee121|trainee122|trainee312	唐升|叶云裳|龙湘|虞小梅|郁竹|上官萤|唐中翎|赵活|少年赵活|唐默铃|南宫深|南宫横|邹博|斗笠人|辛儒|石夫人|瑞笙|唐门弟子|泥教弟子|泥教弟子|青城弟子	MIX
5918	12	brother2|brother3|girl7|oldbeggar1|player|special104|special201|special6|special800|special808|special999|trainee221	唐铮|唐升|郁竹|老乞丐|赵活|南宫横|邹博|万里鹏程|宋悲|解无尘|瑞笙|夺魄弟子	MIX
5923	21	brother3|girl2|girl4|girl5|girl7|girl9|master|player|player_young|sister1|special102|special104|special201|special3_1|special802|special815|special999|trainee1|trainee121|trainee122|trainee312	唐升|叶云裳|龙湘|虞小梅|郁竹|上官萤|唐中翎|赵活|少年赵活|唐默铃|南宫深|南宫横|邹博|斗笠人|辛儒|石夫人|瑞笙|唐门弟子|泥教弟子|泥教弟子|青城弟子	MIX
5938	1	player	赵活	M?
5939	2	dog1|special4	狗|樊啸天	M?
5959	85	beggar1|brother1|brother2|brother3|brother4|daoshi311|daoshi312|daoshi313|elder101|girl1|girl2|girl4|girl5|girl6|girl7|girl8|girl9|hero2|mask1|master|oldbeggar1|player|player_old|ranger4|sir1|sister1|special101|special102|special102_1|special103|special2|special201|special202|special203|special206|special207|special208|special212|special3|special3_2|special4|special401|special402|special402_1|special403|special405|special407|special408|special7|special800|special801|special804|special807|special808|special809|special811|special813_1|special815|special820|special826|special827|special832|special834|special835|special835_1|special999|stranger1|trainee010|trainee011|trainee1|trainee121|trainee2|trainee201|trainee214|trainee222|trainee231|trainee301|trainee312|trainee321|trainee342|trainee361|trainee8|trainee_girl2|trainees|unknown	乞丐|唐布衣|唐铮|唐升|唐惟元|青城长老|青城长老|青城长老|南宫老人|瑞杏|叶云裳|龙湘|虞小梅|夏侯兰|郁竹|魏菊|上官萤|少侠|蒙面人|唐中翎|老乞丐|赵活|赵活|公子侠|先生|唐默铃|南宫远|南宫深|南宫深|南宫浅|龙渊|邹博|观云客|听海生|福韫|金乌上人|晁和|铁冠道人|叶云舟|叶云舟|樊啸天|王二壮|温夫人|温夫人|赵逵|申屠龙|上官隼|向无忧|石公远|宋悲|谭霸刀|雷谦|吕翁|解无尘|李富贵|唐衫|画中仙|石夫人|第三香|释明|沧帮帮主|唐芳|段智秀|南宫己|南宫己|瑞笙|路人|唐门弟子|唐门弟子|唐门弟子|泥教弟子|唐门弟子|飞天弟子|铁拳弟子|夺魄弟子|玄功弟子|点苍弟子|青城弟子|峨嵋弟子|全真弟子|岭南弟子|唐门弟子|唐门女弟子|唐门众弟子|？？？	MIX
5960	85	beggar1|brother1|brother2|brother3|brother4|daoshi311|daoshi312|daoshi313|elder101|girl1|girl2|girl4|girl5|girl6|girl7|girl8|girl9|hero2|mask1|master|oldbeggar1|player|player_old|ranger4|sir1|sister1|special101|special102|special102_1|special103|special2|special201|special202|special203|special206|special207|special208|special212|special3|special3_2|special4|special401|special402|special402_1|special403|special405|special407|special408|special7|special800|special801|special804|special807|special808|special809|special811|special813_1|special815|special820|special826|special827|special832|special834|special835|special835_1|special999|stranger1|trainee010|trainee011|trainee1|trainee121|trainee2|trainee201|trainee214|trainee222|trainee231|trainee301|trainee312|trainee321|trainee342|trainee361|trainee8|trainee_girl2|trainees|unknown	乞丐|唐布衣|唐铮|唐升|唐惟元|青城长老|青城长老|青城长老|南宫老人|瑞杏|叶云裳|龙湘|虞小梅|夏侯兰|郁竹|魏菊|上官萤|少侠|蒙面人|唐中翎|老乞丐|赵活|赵活|公子侠|先生|唐默铃|南宫远|南宫深|南宫深|南宫浅|龙渊|邹博|观云客|听海生|福韫|金乌上人|晁和|铁冠道人|叶云舟|叶云舟|樊啸天|王二壮|温夫人|温夫人|赵逵|申屠龙|上官隼|向无忧|石公远|宋悲|谭霸刀|雷谦|吕翁|解无尘|李富贵|唐衫|画中仙|石夫人|第三香|释明|沧帮帮主|唐芳|段智秀|南宫己|南宫己|瑞笙|路人|唐门弟子|唐门弟子|唐门弟子|泥教弟子|唐门弟子|飞天弟子|铁拳弟子|夺魄弟子|玄功弟子|点苍弟子|青城弟子|峨嵋弟子|全真弟子|岭南弟子|唐门弟子|唐门女弟子|唐门众弟子|？？？	MIX
6015	20	brother1|girl2|girl4|girl5|girl8|player|ranger2|ranger_girl1|sister1|special103|special407|special7|special811|trainee011|trainee1|trainee103|trainee104|trainee2|trainee343|unknown	唐布衣|叶云裳|龙湘|虞小梅|魏菊|赵活|路人侠|女侠|唐默铃|南宫浅|上官隼|石公远|唐衫|唐门弟子|唐门弟子|南宫家丁|南宫家丁|唐门弟子|全真弟子|？？？	MIX
6041	9	brother1|brother4|daoshi313|girl5|girl9|player|special102|special826|special999	唐布衣|唐惟元|青城长老|虞小梅|上官萤|赵活|南宫深|释明|瑞笙	MIX
6051	1	player	赵活	M?
6109	4	sister1|special4|trainee2|trainee_girl1	唐默铃|樊啸天|唐门弟子|唐门女弟子	MIX
6110	8	brother1|brother3|girl4|player|sister1|special102|special3|special807	唐布衣|唐升|龙湘|赵活|唐默铃|南宫深|叶云舟|吕翁	MIX
6129	1	special811	唐衫	M?
6133	17	daoshi311|girl4|girl5|horse_man_1|people1|player|player_section|sister1|soldier1|special811|trainee101|trainee103|trainee111|trainee112|trainee491|trainee493|trainee495	青城长老|龙湘|虞小梅|马面|众人|赵活|赵活|唐默铃|官兵|唐衫|南宫家丁|南宫家丁|沧帮弟子|沧帮弟子|锦香弟子|锦香弟子|锦香弟子	MIX
18498	9	big_shock1|brother4|girl2|girl5|girl9|player|special102|special835_1|stranger1	许大鲸|唐惟元|叶云裳|虞小梅|上官萤|赵活|南宫深|南宫己|路人	MIX
18499	1	brother3	唐升	M?
18500	1	stranger1	路人	M?
18501	1	brother3	唐升	M?
18502	1	stranger1	路人	M?
18503	1	stranger1	路人	M?
18504	1	brother3	唐升	M?
18505	1	stranger1	路人	M?
18506	1	brother3	唐升	M?
18507	1	stranger1	路人	M?
18508	1	brother3	唐升	M?
18509	1	stranger1	路人	M?
18510	1	brother3	唐升	M?
18511	1	stranger1	路人	M?
18512	1	brother3	唐升	M?
18513	1	stranger1	路人	M?
18514	2	brother3|player	唐升|赵活	M?
18515	1	brother3	唐升	M?
18516	1	brother3	唐升	M?
18517	1	brother3	唐升	M?
18518	1	brother3	唐升	M?
18519	1	stranger1	路人	M?
18520	1	brother3	唐升	M?
18521	1	brother3	唐升	M?
18522	1	stranger1	路人	M?
18523	1	brother3	唐升	M?
18524	1	player	赵活	M?
18525	1	trainee1	唐门弟子	M?
18526	1	player	赵活	M?
18527	1	trainee2	唐门弟子	M?
18528	4	girl2|girl4|player|special102	叶云裳|龙湘|赵活|南宫深	MIX
18531	1	trainee3	唐门弟子	M?
18532	1	trainee1	唐门弟子	M?
18534	1	trainee332	嵩山弟子	M?
18535	1	player	赵活	M?
18536	1	trainee332	嵩山弟子	M?
18537	1	trainee332	嵩山弟子	M?
18538	1	player	赵活	M?
18540	1	trainee301	点苍弟子	M?
18541	2	hero1|player	少侠|赵活	M?
18542	1	special3	叶云舟	M?
18543	1	player	赵活	M?
18544	1	trainee301	点苍弟子	M?
18545	1	player	赵活	M?
18547	1	trainee493	锦香弟子	M?
18548	1	trainee3	唐门弟子	M?
18549	1	player	赵活	M?
18550	1	girl4	龙湘	F
18551	1	player	赵活	M?
18552	1	girl4	龙湘	F
18553	1	girl4	龙湘	F
18555	1	special3	叶云舟	M?
18556	1	girl4	龙湘	F
18557	1	player	赵活	M?
18558	1	player	赵活	M?
18559	1	trainee_girl1	唐门女弟子	F
18560	1	big_trainee_girl_1	唐娇娇	F
18561	1	trainee1	唐门弟子	M?
18562	20	brother1|girl2|girl4|girl5|girl8|player|ranger2|ranger_girl1|sister1|special103|special407|special7|special811|trainee011|trainee1|trainee103|trainee104|trainee2|trainee343|unknown	唐布衣|叶云裳|龙湘|虞小梅|魏菊|赵活|路人侠|女侠|唐默铃|南宫浅|上官隼|石公远|唐衫|唐门弟子|唐门弟子|南宫家丁|南宫家丁|唐门弟子|全真弟子|？？？	MIX
18564	1	player	赵活	M?
18565	1	trainee1	唐门弟子	M?
18566	1	trainee_girl1	唐门女弟子	F
18567	1	trainee_girl2	唐门女弟子	F
18568	1	trainee2	唐门弟子	M?
18569	1	player	赵活	M?
18570	1	trainee1	唐门弟子	M?
18571	1	trainee_girl1	唐门女弟子	F
18572	1	player	赵活	M?
18573	1	player	赵活	M?
18574	1	big_trainee_girl_1	唐娇娇	F
18575	1	big_trainee_girl_1	唐娇娇	F
18576	1	player	赵活	M?
18578	1	player	赵活	M?
18579	1	player	赵活	M?
18581	1	player	赵活	M?
18582	1	player	赵活	M?
18584	1	unknown	？？？	M?
18585	1	player	赵活	M?
18587	1	brother1	唐布衣	M?
18588	1	player	赵活	M?
18589	1	brother1	唐布衣	M?
18592	1	brother2	唐铮	M?
18593	1	player	赵活	M?
18594	1	brother2	唐铮	M?
18596	1	player	赵活	M?
18597	1	player	赵活	M?
18598	1	sister1	唐默铃	F
18599	1	player	赵活	M?
18600	48	brother2|brother3|brother4|daoshi311|girl1|girl2|girl4|girl5|girl5_3|girl7_2|girl8|girl9|people1|player|showgirl1|sister1|special102|special103|special3|special809|special811|special832|special834|trainee020|trainee023|trainee1|trainee101|trainee102|trainee103|trainee104|trainee111|trainee2|trainee201|trainee204|trainee211|trainee234|trainee311|trainee312|trainee313|trainee315|trainee317|trainee4|trainee491|trainee492|trainee493|trainee8|waiter1|women3	唐铮|唐升|唐惟元|青城长老|瑞杏|叶云裳|龙湘|虞小梅|女飞贼|郁竹|魏菊|上官萤|众人|赵活|女乐|唐默铃|南宫深|南宫浅|叶云舟|李富贵|唐衫|唐芳|段智秀|唐门弟子|唐门弟子|唐门弟子|南宫家丁|南宫家丁|南宫家丁|南宫家丁|沧帮弟子|唐门弟子|飞天弟子|飞天弟子|铁拳弟子|玄功弟子|青城弟子|青城弟子|青城弟子|青城弟子|青城弟子|唐门弟子|锦香弟子|锦香弟子|锦香弟子|唐门弟子|店小二|妇人	MIX
18601	1	sister1	唐默铃	F
18602	1	player	赵活	M?
18603	1	player	赵活	M?
18604	1	brother1	唐布衣	M?
18605	1	player	赵活	M?
18606	1	brother1	唐布衣	M?
18607	1	brother1	唐布衣	M?
18608	1	brother1	唐布衣	M?
18609	1	player	赵活	M?
18610	1	brother1	唐布衣	M?
18611	1	player	赵活	M?
18612	1	brother1	唐布衣	M?
18613	1	brother1	唐布衣	M?
18614	85	beggar1|brother1|brother2|brother3|brother4|daoshi311|daoshi312|daoshi313|elder101|girl1|girl2|girl4|girl5|girl6|girl7|girl8|girl9|hero2|mask1|master|oldbeggar1|player|player_old|ranger4|sir1|sister1|special101|special102|special102_1|special103|special2|special201|special202|special203|special206|special207|special208|special212|special3|special3_2|special4|special401|special402|special402_1|special403|special405|special407|special408|special7|special800|special801|special804|special807|special808|special809|special811|special813_1|special815|special820|special826|special827|special832|special834|special835|special835_1|special999|stranger1|trainee010|trainee011|trainee1|trainee121|trainee2|trainee201|trainee214|trainee222|trainee231|trainee301|trainee312|trainee321|trainee342|trainee361|trainee8|trainee_girl2|trainees|unknown	乞丐|唐布衣|唐铮|唐升|唐惟元|青城长老|青城长老|青城长老|南宫老人|瑞杏|叶云裳|龙湘|虞小梅|夏侯兰|郁竹|魏菊|上官萤|少侠|蒙面人|唐中翎|老乞丐|赵活|赵活|公子侠|先生|唐默铃|南宫远|南宫深|南宫深|南宫浅|龙渊|邹博|观云客|听海生|福韫|金乌上人|晁和|铁冠道人|叶云舟|叶云舟|樊啸天|王二壮|温夫人|温夫人|赵逵|申屠龙|上官隼|向无忧|石公远|宋悲|谭霸刀|雷谦|吕翁|解无尘|李富贵|唐衫|画中仙|石夫人|第三香|释明|沧帮帮主|唐芳|段智秀|南宫己|南宫己|瑞笙|路人|唐门弟子|唐门弟子|唐门弟子|泥教弟子|唐门弟子|飞天弟子|铁拳弟子|夺魄弟子|玄功弟子|点苍弟子|青城弟子|峨嵋弟子|全真弟子|岭南弟子|唐门弟子|唐门女弟子|唐门众弟子|？？？	MIX
18615	1	player	赵活	M?
18616	7	brother1|girl2|girl4|girl8|player|special999|trainee5	唐布衣|叶云裳|龙湘|魏菊|赵活|瑞笙|唐门弟子	MIX
18617	7	brother1|girl2|girl4|girl8|player|special999|trainee5	唐布衣|叶云裳|龙湘|魏菊|赵活|瑞笙|唐门弟子	MIX
