<size\=50>闭嘴！！</size>	<size\=50>หุบปาก!!</size>
<size\=60>今日我金乌上人代表崆峒，向唐门高手挑战！</size>	<size\=60>วันนี้ข้า ผู้ทรงศีลอีกาทอง ในนามของคงถง ขอท้าประลองยอดฝีมือแห่งสำนักถัง!</size>
<size\=60>你半夜不睡觉鬼哭狼嚎是在招魂哦！</size>	<size\=60>เจ้าไม่ยอมนอนกลางดึก ร้องโหยหวนราวกับผีหอนหมาป่า นี่กำลังเรียกวิญญาณอยู่หรือไง!</size>
<size\=60>你只管瑟缩在墙后，当你的南宫家主吧，八！</size>	<size\=60>เจ้าก็หดหัวซุกอยู่หลังกำแพงไปเถอะ เป็นเจ้าตระกูลหนานกงของเจ้าต่อไป แปด!</size>
<size\=60>你听好了，无论你跑到何处，我都要找出你来！唐──铮──！</size>	<size\=60>ฟังให้ดี ไม่ว่าเจ้าจะหนีไปที่ไหน ข้าก็จะตามหาเจ้าจนเจอ! ถัง──เจิง──!</size>
<size\=60>你师父是夏侯兰！！</size>	<size\=60>อาจารย์ของเจ้าคือเซี่ยโหวหลาน!!</size>
<size\=60>兰姐姐？！</size>	<size\=60>พี่หลาน?!</size>
<size\=60>决胜以前，两边人马不许妄动干戈！</size>	<size\=60>ก่อนตัดสินผลแพ้ชนะ ทั้งสองฝ่ายห้ามใช้กำลังกันตามอำเภอใจ!</size>
<size\=60>凄凉宝剑篇，羁泊欲穷年。</size><size\=60>黄叶仍风雨，青楼自管弦。</size><size\=60>新知遭薄俗，旧好隔良缘。</size><size\=60>心断新丰酒，销愁斗几千。</size>	<size\=60>บทกวีดาบวิเศษอันแสนเศร้า ข้าพเนจรไร้จุดหมายจวบจะสิ้นปี</size><size\=60>ใบไม้เหลืองยังผจญลมฝน แต่เรือนหยกยังบรรเลงพิณขับขาน</size><size\=60>รู้จักคนใหม่กลับพบแต่ความเย็นชา มิตรเก่าก็ห่างเหินจากสายใยอันดี</size><size\=60>ใจข้าสิ้นอาลัยเหล้าซินเฟิง ดื่มแก้เศร้าไปเท่าไหร่ก็ไม่วาย</size>
<size\=60>可恶！可恶！唐铮！我绝不原谅你！</size>	<size\=60>น่าชัง! น่าชังจริงๆ! ถังเจิง! ข้าไม่มีวันให้อภัยเจ้าเด็ดขาด!</size>
<size\=60>可恶！！</size>	<size\=60>น่าชัง!!</size>
<size\=60>可是坐镇江陵的武林和事佬，南宫世家怎就没人过来挑战？</size>	<size\=60>แต่ตระกูลหนานกง ผู้เป็นคนกลางแห่งยุทธจักรที่คุมเจียงหลิงอยู่ ไฉนจึงไม่มีใครออกมาท้าประลองบ้างเล่า?</size>
<size\=60>否则你便是没骨气、没担当的伪君子！十！</size>	<size\=60>ไม่เช่นนั้นเจ้าก็เป็นได้แค่คนไร้กระดูกสันหลัง ไร้ความรับผิดชอบ เป็นเพียงคนหน้าซื่อใจคด! สิบ!</size>
<size\=60>呃啊啊啊啊──！！</size>	<size\=60>อื้ออาาาา──!!</size>
<size\=60>哈？！</size>	<size\=60>หา?!</size>
<size\=60>唐门与魔教勾结！想冤枉咱们！</size>	<size\=60>สำนักถังคบคิดกับมารลัทธิ! คิดจะใส่ร้ายพวกเรา!</size>
<size\=60>唐门英雄！</size>	<size\=60>วีรบุรุษแห่งสำนักถัง!</size>
<size\=60>啊啊啊啊啊──！</size>	<size\=60>อาาาาา──!</size>
<size\=60>啊！！</size>	<size\=60>อา!!</size>
<size\=60>喝啊──！</size>	<size\=60>ฮ้าาา──!</size>
<size\=60>噢我操！！</size>	<size\=60>โอ๊ย ฉิบหายแล้ว!!</size>
<size\=60>大伙一块杀出重围！</size>	<size\=60>ทุกคนร่วมมือกันฝ่าวงล้อมออกไป!</size>
<size\=60>大师兄！！</size>	<size\=60>พี่ใหญ่!!</size>
<size\=60>妈巴羔子咧师兄！不要唱了啦！难听死了！</size>	<size\=60>บ้าเอ๊ย พี่เอ๋ย! เลิกร้องเถอะ! ฟังไม่ได้เลยจริงๆ!</size>
<size\=60>妈的！！老子一定要宰了你！</size>	<size\=60>บ้าเอ๊ย!! ข้าจะต้องฆ่าเจ้าให้ได้แน่!</size>
<size\=60>小师妹！！快来帮忙，有刺客！！</size>	<size\=60>ศิษย์น้องคนเล็ก!! รีบมาช่วยที มีมือสังหาร!!</size>
<size\=60>就跟你说那茶很金贵了！你以为是免钱的喔！</size>	<size\=60>ก็บอกเจ้าแล้วว่าชานั่นมันมีค่ายิ่งนัก! เจ้านึกว่าได้มาฟรีหรือไง!</size>
<size\=60>崆峒夺魄门也告辞了！</size>	<size\=60>สำนักชิงวิญญาณแห่งคงถงขอลาไปก่อนแล้ว!</size>
<size\=60>崆峒派的人都给我停手！</size>	<size\=60>คนของสำนักคงถงทุกคน หยุดมือไว้เดี๋ยวนี้!</size>
<size\=60>崆峒派的人都给我听着！</size>	<size\=60>คนของสำนักคงถงทุกคน ฟังข้าให้ดี!</size>
<size\=60>崆峒派的都站出来！</size>	<size\=60>คนของสำนักคงถงทั้งหมด ออกมายืนข้างหน้า!</size>
<size\=60>崆峒派的都起来！唐门设陷阱要围杀咱们！</size>	<size\=60>คนของสำนักคงถงทั้งหมด ลุกขึ้นเร็ว! สำนักถังวางกับดักจะล้อมสังหารพวกเรา!</size>
<size\=60>崆峒派的，全都跟我走！</size>	<size\=60>คนของสำนักคงถง ตามข้ามาให้หมด!</size>
<size\=60>崆峒玄功门服输了，</size><size\=60>今日多有得罪，告辞！</size>	<size\=60>สำนักเสวียนกงแห่งคงถงขอยอมแพ้แล้ว</size><size\=60>วันนี้ได้ล่วงเกินไปมาก ขอตัวลาก่อน!</size>
<size\=60>师兄弟们快来！有刺客想害大师兄！</size>	<size\=60>พี่น้องศิษย์ทั้งหลาย รีบมาเร็ว! มีมือสังหารคิดจะทำร้ายพี่ใหญ่!</size>
<size\=60>我警告你不要动手动脚的喔！</size>	<size\=60>ข้าเตือนเจ้าไว้ก่อนนะ อย่าได้มือไม้ไม่ดีเชียว!</size>
<size\=60>我认输了！好汉饶命！</size>	<size\=60>ข้ายอมแพ้แล้ว! ท่านผู้กล้า โปรดไว้ชีวิตข้าด้วย!</size>
<size\=60>我迟早要杀了你！！</size>	<size\=60>ไม่ช้าก็เร็ว ข้าจะต้องฆ่าเจ้าให้ได้!!</size>
<size\=60>战他娘亲！</size>	<size\=60>สู้ให้ตายกันไปข้างหนึ่ง!</size>
<size\=60>所有人给我听着！</size>	<size\=60>ทุกคนฟังข้าให้ดี!</size>
<size\=60>打得好！</size>	<size\=60>ต่อสู้ได้ดียิ่งนัก!</size>
<size\=60>捍卫正道！齐心诛邪！</size>	<size\=60>ปกป้องธรรมะ! ร่วมใจกำจัดปีศาจร้าย!</size>
<size\=60>无灾笑作风流郎，有难呼来别人挡，九！</size>	<size\=60>ยามไร้ภัยก็ยิ้มเป็นชายเจ้าสำราญ ยามมีเภทภัยก็เรียกคนอื่นมาต้านแทน เก้า!</size>
<size\=60>本人泥教法王，暨丐帮帮主在此，名唤王二壮的便是！</size>	<size\=60>ตัวข้าคือธรรมราชาแห่งลัทธินี่ และเจ้าพรรคขอทานผู้อยู่ ณ ที่นี้ นามว่าหวางเอ้อร์จ้วงก็คือข้าเอง!</size>
<size\=60>烂柯子，烂柯子──我数十声，是个汉子，即刻出来见我！</size>	<size\=60>หลานเข่อจื่อ หลานเข่อจื่อ── ข้าจะนับสิบเสียง หากเจ้าเป็นลูกผู้ชาย ก็จงออกมาเจอข้าเดี๋ยวนี้!</size>
<size\=60>自然要讨！一定要讨！</size>	<size\=60>ต้องทวงคืนสิ! ต้องทวงให้ได้แน่นอน!</size>
<size\=60>莫不是怕败给王某，颜面尽失，才当个缩头乌龟！</size>	<size\=60>หรือว่ากลัวแพ้ข้าหวาง จนเสียหน้าหมดสิ้น เลยต้องมาทำตัวเป็นเต่าหดหัว!</size>
<size\=60>辱我小师妹者，千刀万剐杀！</size>	<size\=60>ผู้ใดหมิ่นศิษย์น้องคนเล็กของข้า จะต้องถูกสับเป็นพันชิ้นหมื่นแฉก!</size>
<size\=60>铁拳门的，都丢够脸啦，回家了！</size>	<size\=60>พวกสำนักหมัดเหล็กเรา เสียหน้ามามากพอแล้ว กลับบ้านกันเถอะ!</size>
<size\=60>！！</size>	<size\=60>!!</size>
<size\=60>？！！</size>	<size\=60>?!!</size>
……我懂了，这柄小剑该是从前哪位唐门前辈所遗吧。锈成这样，怕不有百年历史，已经不能用了。	...ข้าเข้าใจแล้ว ดาบเล็กเล่มนี้คงเป็นของที่รุ่นพี่สำนักถังในอดีตท่านใดท่านหนึ่งทิ้งไว้กระมัง ขึ้นสนิมขนาดนี้ เกรงว่าจะมีอายุนับร้อยปี ใช้การไม่ได้แล้ว
……走了。她身法好快，步法精妙，匕法也杂，似是刻意隐藏家数，我看不出所以然来。	...ไปแล้ว วิชาตัวของนางรวดเร็วยิ่งนัก ฝีเท้าก็แพรวพราว วิชามีดสั้นก็หลากหลาย ดูราวกับจงใจซ่อนที่มาสำนัก ข้าดูไม่ออกเลยว่าเป็นทางใด
……道长找我，莫非是晚辈干了什么错事吗？	...ท่านนักพรตตามหาข้า หรือว่ารุ่นน้องได้ทำเรื่องผิดพลาดอะไรไปหรือ?
……魏小娘子还真是心善，到这时还关心别人。你莫非不知此处最该紧张的，便是你自己吗？我若是心存歹意，玄功掌门就要换人了。	...คุณหนูเว่ยนี่ช่างมีจิตใจดีจริง จนถึงตอนนี้ก็ยังห่วงใยผู้อื่นอยู่ เจ้าไม่รู้หรือว่าคนที่ควรหวาดระแวงที่สุดในที่นี้ ก็คือตัวเจ้าเอง? หากข้ามีใจคิดร้าย เจ้าสำนักเสวียนกงก็คงต้องเปลี่ยนตัวไปแล้ว
……？！！	...?!!
三师兄，你这未免有点迂腐了。	พี่สาม ท่านนี่ก็ดื้อรั้นคร่ำครึไปหน่อยนะ
三师兄，萤姑娘……萤儿跟上官世家决裂，现在是我的未婚妻子了。	พี่สาม คุณหนูอิง... อิงเอ๋อร์ตัดขาดจากตระกูลซ่างกวนแล้ว ตอนนี้นางเป็นคู่หมั้นของข้าแล้ว
不过盘缠还是得省着花的，免得真要动身上路时穷得叮当响，	ทว่าเงินเดินทางก็ยังต้องใช้อย่างประหยัด มิเช่นนั้นเมื่อถึงเวลาต้องออกเดินทางจริง จะได้ไม่ถึงกับหมดตัวจนกระเป๋าโปร่ง
你和别派弟子混熟了，时常聊天。虽不能提到毒经秘要，但光是辨识百草、煮药的心得便够他们学了。谈到了好些别派有名的灵丹妙药，令你也增长了见闻。	เจ้าได้สนิทสนมกับศิษย์สำนักอื่น พูดคุยกันอยู่เสมอ แม้จะเอ่ยถึงคัมภีร์พิษหรือเคล็ดลับสำคัญไม่ได้ แต่เพียงความรู้เรื่องจำแนกสมุนไพรร้อยชนิดและวิธีต้มยา ก็เพียงพอให้พวกเขาได้เรียนรู้แล้ว ยังได้พูดคุยถึงยาวิเศษที่มีชื่อเสียงของสำนักอื่นอีกหลายขนาน ทำให้เจ้าได้เพิ่มพูนความรู้ความเห็นด้วย
你这……我会给你气死！	เจ้านี่... ข้าจะต้องโกรธจนตายเพราะเจ้าแน่ๆ!
她无非是想想告诉你，心急喝不了热茶。越是着急，越要头脑冷静。失却平常心，便是一杯茶也能埋伏你。	นางก็เพียงอยากบอกเจ้าว่า ใจร้อนดื่มชาร้อนไม่ได้หรอก ยิ่งรีบร้อนเท่าใด ก็ยิ่งต้องรักษาสติให้สงบเท่านั้น หากขาดจิตใจปกติเสียแล้ว แม้แต่ชาถ้วยเดียวก็อาจซุ่มโจมตีเจ้าได้
好，我知道了……。即使今日悲痛欲绝，明天依旧会活着。即使余生不再有你，我也会忍耐。	ได้ ข้าเข้าใจแล้ว... แม้วันนี้จะเศร้าโศกจนแทบขาดใจ แต่พรุ่งนี้ข้าก็ยังคงมีชีวิตอยู่ต่อไป แม้ชีวิตที่เหลือจะไม่มีเจ้าอีกแล้ว ข้าก็จะอดทนให้ได้
孺子可教，你要是这样还打不赢，那定是你自己的问题。只怕没救了吧，好了，要死就快去吧，我可不护你，别来烦我。	เด็กคนนี้ยังพอสอนได้ หากเป็นแบบนี้แล้วยังเอาชนะไม่ได้อีก ก็ต้องเป็นปัญหาของตัวเจ้าเองแน่ เกรงว่าคงช่วยไม่ได้แล้วกระมัง เอาเถอะ อยากตายก็รีบไปเถอะ ข้าไม่คุ้มครองเจ้าหรอกนะ อย่ามากวนใจข้า
实话实说罢了，我家乡的官，就是个鱼肉乡里的狗官。	พูดตามความจริงเท่านั้นเอง ขุนนางในบ้านเกิดข้า ก็เป็นเพียงขุนนางชั่วที่กดขี่ราษฎรในท้องถิ่นเท่านั้นแหละ
小妹子，你为何哭了？	น้องหญิงเอ๋ย เหตุใดเจ้าจึงร้องไห้?
我、我也是这样打算的，不如大家再后退一点，蹲低躲入林中，不然我就怕咱们的衣色太显眼了，暴露了行藏。	ข้า... ข้าก็คิดไว้เช่นนี้เหมือนกัน สู้ให้ทุกคนถอยกลับไปอีกหน่อย หมอบตัวลงหลบเข้าไปในป่าดีกว่า ไม่เช่นนั้นข้าก็เกรงว่าสีเสื้อผ้าของพวกเราจะเด่นเกินไป จนเผยร่องรอยที่ซ่อนอยู่
我恨你，大师兄！	ข้าเกลียดท่าน พี่ใหญ่!
我方才是胡说的，我谨慎的很。	เมื่อครู่ข้าพูดเล่นไปเท่านั้น ที่จริงข้าระมัดระวังตัวมากทีเดียว
我虽然不舍得她哭……但是……但是……我还是要出门捻花惹草的，哈哈……咳。	ข้าแม้จะไม่อยากให้นางร้องไห้... แต่ว่า... แต่ว่า... ข้าก็ยังต้องออกไปเจ้าชู้เกี้ยวพาราสีอยู่ดี ฮ่าๆ...แฮ่ม
接续另一路线...	ดำเนินเนื้อเรื่องอีกเส้นทางหนึ่งต่อ...
放纵自己才是真正的残忍。当局者迷，我要是哪处冒犯了你，还请一定要训诫我。	การปล่อยตัวปล่อยใจต่างหากคือความโหดร้ายที่แท้จริง ผู้อยู่ในเหตุการณ์ย่อมมองไม่ทะลุ หากข้าล่วงเกินเจ้าในเรื่องใด ก็ขอให้ท่านตักเตือนข้าด้วยเถิด
萤儿，原谅我故意说这些不好听的话，赶你离开。爷爷曾对我说，你像他亲孙女，若我不懂珍惜，便不要耽误你大好年华	อิงเอ๋อร์ ยกโทษให้ข้าที่จงใจพูดคำหยาบหูเหล่านี้ เพื่อไล่เจ้าไปเสีย ปู่เคยบอกข้าไว้ว่า เจ้าเป็นเสมือนหลานสาวแท้ๆ ของท่าน หากข้าไม่รู้จักทะนุถนอม ก็อย่าได้ทำให้ช่วงวัยอันงดงามของเจ้าต้องเสียไปเปล่าๆ เลย
虽说我倾慕于她，可是即便天降神雷，把萤姑娘给劈疯了，愿意和我回家，可我那样的家世，又怎能与南宫世家相提并论呢？	แม้จะกล่าวว่าข้าหลงใหลในนาง แต่ต่อให้ฟ้าประทานสายฟ้าวิเศษลงมาฟาดคุณหนูอิงจนเสียสติ ยอมกลับบ้านไปกับข้า แต่ตระกูลของข้าเช่นนั้น จะเอาไปเทียบกับตระกูลหนานกงได้อย่างไรเล่า?
要说心寒，该是我南宫深。据探子回报，你们前一日便到了荆州留宿，清晨出发。最多一、二个时辰就到江陵城下，怎么这都向晚了，才姗姗来迟？	หากจะพูดถึงความเยือกเย็นชา ก็ควรเป็นตัวข้าหนานกงเซินนี้ต่างหาก ตามรายงานของสายลับ พวกเจ้าไปถึงจิงโจวค้างแรมตั้งแต่วันก่อน ออกเดินทางแต่เช้าตรู่ อย่างมากหนึ่งถึงสองยามก็น่าจะถึงใต้กำแพงเมืองเจียงหลิงแล้ว เหตุใดป่านนี้จวนจะค่ำแล้ว ยังมาถึงล่าช้าเช่นนี้เล่า?
解锁条件：嘴力>\=50	เงื่อนไขปลดล็อก: พลังคารม>\=50
解锁条件：心相>\=50	เงื่อนไขปลดล็อก: จิตใจ>\=50
解锁条件：贡献度>\=20	เงื่อนไขปลดล็อก: คุณูปการ>\=20
解锁条件：轻功>\=40	เงื่อนไขปลดล็อก: วิชาตัวเบา>\=40
解锁条件：银两>\=10	เงื่อนไขปลดล็อก: เงิน>\=10
解锁条件：银两>\=100	เงื่อนไขปลดล็อก: เงิน>\=100
解锁条件：银两>\=1000	เงื่อนไขปลดล็อก: เงิน>\=1000
解锁条件：银两>\=200	เงื่อนไขปลดล็อก: เงิน>\=200
解锁条件：银两>\=2000	เงื่อนไขปลดล็อก: เงิน>\=2000
解锁条件：银两>\=500	เงื่อนไขปลดล็อก: เงิน>\=500
解锁条件：［学问］>\=40	เงื่อนไขปลดล็อก: ［ความรู้］>\=40
解锁条件：［掌门人］好感度>\=30	เงื่อนไขปลดล็อก: ความโปรดปรานของ［เจ้าสำนัก］>\=30
解锁条件：［道德］为［好人］以下且［嘴力］>\=40	เงื่อนไขปลดล็อก: ［ศีลธรรม］อยู่ต่ำกว่า［คนดี］และ［พลังคารม］>\=40
说得对	ว่าได้ถูกต้อง
赵师兄，此时不在崆峒，事宜从简。请你随我到院中，向西叩拜，以示虔诚。来日回到崆峒山，再向先掌派人上香。	พี่จ้าว ขณะนี้เราไม่ได้อยู่ที่คงถง เรื่องราวต่างๆ จึงควรทำให้เรียบง่ายเจ้าค่ะ ขอเชิญท่านตามข้าไปยังลานบ้าน หมอบกราบไปทางทิศตะวันตก เพื่อแสดงความศรัทธา วันหน้าเมื่อกลับไปยังเขาคงถงแล้ว ค่อยจุดธูปคารวะท่านเจ้าสำนักองค์ก่อนอีกครั้งเจ้าค่ะ
这回我就全力以赴吧，来──	คราวนี้ข้าจะทุ่มสุดกำลังเต็มที่ มาเลย──
启程(活动)	ออกเดินทาง (กิจกรรม)
