<size\=50>不怕！不怕！</size>	<size\=50>ไม่กลัว! ไม่กลัว!</size>
<size\=50>共抗武林盟！贯彻唐门风骨！</size>	<size\=50>ร่วมต้านพันธมิตรยุทธจักร! ธำรงเกียรติภูมิสำนักถัง!</size>
<size\=50>冲下山去，战他娘亲！</size>	<size\=50>บุกลงเขาไป สู้ให้ตายไปข้างหนึ่ง!</size>
<size\=50>凛遵掌派人法谕！</size>	<size\=50>นบนอบปฏิบัติตามบัญชาเจ้าสำนักโดยเคร่งครัด!</size>
<size\=50>凭什么！！</size>	<size\=50>จะเอาอะไรมาอ้าง!!</size>
<size\=50>凯旋返驾－归－山──</size>	<size\=50>ชัยชนะ กลับคืน－สู่－เขา──</size>
<size\=50>出剑！</size>	<size\=50>ชักดาบ!</size>
<size\=50>出来吧，哥～哥～！</size>	<size\=50>ออกมาเถอะ พี่～ชาย～!</size>
<size\=50>出现了！</size>	<size\=50>ปรากฏตัวแล้ว!</size>
<size\=50>出现啦！！</size>	<size\=50>ปรากฏตัวแล้ว!!</size>
<size\=50>到此为止了！恶徒！</size>	<size\=50>หยุดแค่นี้แหละ! เจ้าคนชั่ว!</size>
<size\=50>十一代弟子，凛遵掌门真人号令！</size>	<size\=50>ศิษย์รุ่นที่สิบเอ็ด นบนอบปฏิบัติตามบัญชาของท่านเจ้าสำนัก!</size>
<size\=50>去、死、去、死、去、死、去、死！</size>	<size\=50>ไป ตาย ไป ตาย ไป ตาย ไป ตาย!</size>
<size\=50>可以吃肉、喝酒、娶妻！</size>	<size\=50>กินเนื้อได้ ดื่มเหล้าได้ มีเมียได้!</size>
<size\=50>各派留学我大崆峒山的侠士侠女！</size><size\=50>都请出来相见！</size>	<size\=50>เหล่าจอมยุทธ์ชายหญิงจากทุกสำนักที่มาศึกษา ณ เขาคงถงอันยิ่งใหญ่ของเรา!</size><size\=50>ขอเชิญทุกท่านออกมาพบกัน!</size>
<size\=50>吓！</size>	<size\=50>ฮะ!</size>
<size\=50>呃啊──！</size>	<size\=50>อ้าก──!</size>
<size\=50>呃啊！你、你怎会……！</size>	<size\=50>อ้าก! เจ้า...เจ้าทำได้อย่างไร...!</size>
<size\=50>呜呀啊啊啊啊啊啊──！</size>	<size\=50>หวาอาาาาาา──!</size>
<size\=50>呜呜呜呜呜！</size>	<size\=50>ฮือ ฮือ ฮือ ฮือ ฮือ!</size>
<size\=50>呜啊！好丑，这什么玩意，吓活鬼了！！</size>	<size\=50>ว้าย! น่าเกลียดจัง นี่มันอะไรกัน ตกใจจนขวัญหนีดีฝ่อ!!</size>
<size\=50>呜噜汪汪汪汪汪！！</size>	<size\=50>หวูลู โฮ่งๆๆๆๆ!!</size>
<size\=50>呜～呜啊啊啊啊～！</size>	<size\=50>ฮือ～ฮืออาาาา～!</size>
<size\=50>咦耶哎──？！！</size>	<size\=50>เอ๊ะ เฮ้ อ๊ะ──?!!</size>
<size\=50>哇啊！怎会走漏风声的？</size>	<size\=50>ว้า! ข่าวรั่วไหลออกไปได้อย่างไร?</size>
<size\=50>哈──？！</size>	<size\=50>ฮะ──?!</size>
<size\=50>哈哈哈哈哈！</size>	<size\=50>ฮ่าๆๆๆๆ!</size>
<size\=50>哈哈哈！真人相邀，岂敢不从！</size>	<size\=50>ฮ่าๆๆ! ในเมื่อท่านเจินเหรินเชิญ ข้าน้อยกล้าขัดได้อย่างไร!</size>
<size\=50>唐门推举外姓弟子叶云舟！</size>	<size\=50>สำนักถังเสนอชื่อศิษย์ต่างแซ่ เย่หวินโจว!</size>
<size\=50>唐门薪火，自古如今！！</size>	<size\=50>เปลวไฟแห่งสำนักถัง สืบทอดมาแต่โบราณจนบัดนี้!!</size>
<size\=50>唐门赵活在此！</size><size\=50>一夫当关，万夫莫开！看谁敢犯我唐家大院！</size>	<size\=50>สำนักถัง จ้าวหัวอยู่ที่นี่!</size><size\=50>คนเดียวยันด่านไว้ได้ หมื่นคนก็บุกไม่เข้า! ดูซิใครกล้ามาราน คฤหาสน์ตระกูลถังของข้า!</size>
<size\=50>唐门！！</size>	<size\=50>สำนักถัง!!</size>
<size\=50>唔哇啊！！</size>	<size\=50>อู้วา!!</size>
<size\=50>唔哦哦哦哦──！！</size>	<size\=50>อู้โอโอโอ──!!</size>
<size\=50>啊啊啊──！！</size>	<size\=50>อาาาา──!!</size>
<size\=50>啊啊啊啊──不行！裂了，真要裂了！</size>	<size\=50>อาาา──ไม่ไหวแล้ว! มันจะฉีกแล้ว จะฉีกจริงๆ แล้ว!</size>
<size\=50>啊啊啊啊啊──！！</size>	<size\=50>อาาาาา──!!</size>
<size\=50>啊啊啊啊啊啊～～！我的耳朵烂掉了！</size>	<size\=50>อาาาาาา～～! หูข้าจะแตกอยู่แล้ว!</size>
<size\=50>啊啊啊～～</size>	<size\=50>อาาา～～</size>
<size\=50>啊啊啊～～～！</size>	<size\=50>อาาา～～～!</size>
<size\=50>啊干！贼老天，我恨祢！！</size>	<size\=50>อ้ากเอ๊ย! ฟ้าดินชั่วช้า ข้าแค้นเจ้านัก!!</size>
<size\=50>啊干！！你这是做什么！</size>	<size\=50>อ้ากเอ๊ย!! เจ้าทำอะไรของเจ้า!</size>
<size\=50>啊干！！！</size>	<size\=50>อ้ากเอ๊ย!!!</size>
<size\=50>啊！！</size>	<size\=50>อ๊าก!!</size>
<size\=50>啥！</size>	<size\=50>หา!</size>
<size\=50>喇逼雕啦！！</size>	<size\=50>หล่าปี้เตียวล่ะ!!</size>
<size\=50>喇逼鵰啦！！</size>	<size\=50>หล่าปี้เตียวล่ะ!!</size>
<size\=50>喝！！</size>	<size\=50>ฮะ!!</size>
<size\=50>噢────！！</size>	<size\=50>โอ้────!!</size>
<size\=50>噢！！</size>	<size\=50>โอ้!!</size>
<size\=50>地狱道法王！</size>	<size\=50>ธรรมราชาแห่งนรกมรรค!</size>
<size\=50>地狱道法王？！</size>	<size\=50>ธรรมราชาแห่งนรกมรรค?!</size>
<size\=50>大师兄！</size>	<size\=50>พี่ใหญ่!</size>
<size\=50>夹他妈的！！</size>	<size\=50>เวรตะไลเอ๊ย!!</size>
<size\=50>好！走！</size>	<size\=50>ดี! ไปกันเถอะ!</size>
<size\=50>官家有令，金国将士全都停手！</size>	<size\=50>องค์ฮ่องเต้มีบัญชา ทหารจินทั้งหมดจงหยุดมือ!</size>
<size\=50>对，战他娘亲！！</size>	<size\=50>ใช่ สู้ให้ตายไปข้างหนึ่ง!!</size>
<size\=50>小梅！</size>	<size\=50>เสี่ยวเหมย!</size>
<size\=50>就说了我有带秘籍吼！！</size>	<size\=50>ก็บอกแล้วไงว่าข้าพกคัมภีร์มาด้วย!!</size>
<size\=50>就说了我有带秘籍吼！！要讲几次！你耳聋喔！！</size>	<size\=50>ก็บอกแล้วไงว่าข้าพกคัมภีร์มาด้วย!! จะให้พูดกี่ครั้งกัน! เจ้าหูหนวกหรือไง!!</size>
<size\=50>岳家旧部，红篷王麾下六路联军，</size><size\=50>推举叶云舟入阵！</size>	<size\=50>เหล่าทหารเก่าตระกูลเยฺว่ และกองทัพพันธมิตรหกทัพใต้บังคับบัญชาราชันย์เต็นท์แดง</size><size\=50>เสนอชื่อเย่หวินโจวเข้าประจำแถว!</size>
<size\=50>嵩山寺十八铜人！喝！</size>	<size\=50>วัดซงซาน สิบแปดมนุษย์ทองสัมฤทธิ์! ฮะ!</size>
<size\=50>师兄！战他娘亲！</size>	<size\=50>พี่ศิษย์! สู้ให้ตายไปข้างหนึ่ง!</size>
<size\=50>师兄，不是青城「所有」长老吧！</size><size\=50>莫不是把我忘了！</size>	<size\=50>พี่ศิษย์ นี่ไม่ใช่ผู้อาวุโสสำนักชิงเฉิง "ทั้งหมด" หรอกใช่ไหม!</size><size\=50>หรือว่าลืมข้าไปแล้ว!</size>
<size\=50>师父！！</size>	<size\=50>อาจารย์!!</size>
<size\=50>我们拚！</size>	<size\=50>เราสู้ตาย!</size>
<size\=50>我们拼！</size>	<size\=50>เราสู้ตาย!</size>
<size\=50>我们来保护你！</size>	<size\=50>พวกเราจะมาปกป้องเจ้า!</size>
<size\=50>我受够了！烦死人啦！</size>	<size\=50>ข้าทนไม่ไหวแล้ว! น่ารำคาญเหลือเกิน!</size>
<size\=50>我大雪山派在此宣言，加盟西武林盟！</size>	<size\=50>สำนักต้าเสวี่ยซานของข้าขอประกาศ ณ ที่นี้ เข้าร่วมพันธมิตรยุทธจักรฝ่ายตะวันตก!</size>
<size\=50>我才！</size>	<size\=50>ข้าน่ะ!</size>
<size\=50>我有带秘籍！！</size>	<size\=50>ข้าพกคัมภีร์มาด้วย!!</size>
<size\=50>我？！</size>	<size\=50>ข้า?!</size>
<size\=50>战他娘亲！</size>	<size\=50>สู้ให้ตายไปข้างหนึ่ง!</size>
<size\=50>战他娘亲！！</size>	<size\=50>สู้ให้ตายไปข้างหนึ่ง!!</size>
<size\=50>战你娘亲！！</size>	<size\=50>สู้ให้ตายไปข้างหนึ่ง!!</size>
<size\=50>打架！！</size>	<size\=50>ต่อสู้กัน!!</size>
<size\=50>放屁！！谁跟你一样！</size>	<size\=50>พูดเหลวไหล!! ใครจะเหมือนเจ้า!</size>
<size\=50>救命啊！！来人啊！！</size>	<size\=50>ช่วยด้วย!! ใครก็ได้มาช่วยที!!</size>
<size\=50>救～命～啊～！非礼啦！！</size>	<size\=50>ช่วย～ด้วย～! ลวนลามแล้ว!!</size>
<size\=50>敢为弱者挺身而出，打抱不平！！</size>	<size\=50>กล้ายืนหยัดปกป้องผู้อ่อนแอ ทวงความเป็นธรรม!!</size>
<size\=50>敬告各位武林盟的蠢蛋，在下唐布衣！</size>	<size\=50>ขอแจ้งแก่เหล่าคนโง่แห่งพันธมิตรยุทธจักรทุกท่าน ข้าน้อยถังปู้อี!</size>
<size\=50>是妖怪！！</size>	<size\=50>เป็นปีศาจ!!</size>
<size\=50>是屎啊！！</size>	<size\=50>เป็นขี้!!</size>
<size\=50>是！</size>	<size\=50>ขอรับ!</size>
<size\=50>是！是极！</size>	<size\=50>ขอรับ! ใช่เลยขอรับ!</size>
<size\=50>是！！</size>	<size\=50>ขอรับ!!</size>
<size\=50>有什么难为的？</size>	<size\=50>มีอะไรยากเย็นนักหนา?</size>
<size\=50>末将领命！！</size>	<size\=50>ข้าน้อยขอรับบัญชา!!</size>
<size\=50>杀人啦！！快来人啊！！</size>	<size\=50>ฆ่าคนแล้ว!! ใครก็ได้มาเร็วเข้า!!</size>
<size\=50>来人救命啊！！</size>	<size\=50>ใครก็ได้มาช่วยด้วย!!</size>
<size\=50>来人！快来人救救她！</size>	<size\=50>มีใครไหม! รีบมาช่วยนางด้วย!</size>
<size\=50>武林盟的全给我住手！</size>	<size\=50>พันธมิตรยุทธจักรทั้งหมด หยุดมือให้ข้าเดี๋ยวนี้!</size>
<size\=50>段！智！秀！</size>	<size\=50>ตวน! จื้อ! ซิ่ว!</size>
<size\=50>比武招亲？！</size>	<size\=50>ประลองวิทยายุทธ์ชิงคู่ครอง?!</size>
<size\=50>江湖第一美人夏侯兰是我赵活的妻子！</size>	<size\=50>นางงามอันดับหนึ่งแห่งยุทธภพ เซี่ยโหวหลาน คือภรรยาของข้าจ้าวหัว!</size>
<size\=50>没生气！</size>	<size\=50>ไม่ได้โกรธ!</size>
<size\=50>温夫人是人间道法王？！</size>	<size\=50>ท่านหญิงเวินคือธรรมราชาแห่งมนุษยโลกมรรค?!</size>
<size\=50>滚！别让我再看到你！不懂装懂，无耻之尤！</size>	<size\=50>ไป! อย่าให้ข้าเห็นหน้าเจ้าอีก! แสร้งรู้ทั้งที่ไม่รู้ ช่างไร้ยางอายที่สุด!</size>
<size\=50>给我乖乖闭嘴听着！</size>	<size\=50>หุบปากซะดีๆ แล้วฟังให้ดี!</size>
<size\=50>给我闭嘴，跑！</size>	<size\=50>หุบปาก แล้ววิ่ง!</size>
<size\=50>老子没有在说笑，你们两个给我闭嘴！！</size>	<size\=50>ข้าไม่ได้พูดเล่น พวกเจ้าสองคนหุบปากซะ!!</size>
<size\=50>聪明！长命！丑！</size>	<size\=50>ฉลาด! อายุยืน! ขี้เหร่!</size>
<size\=50>臭贼秃，你才是魔教徒，你没资格念阿弥陀佛！</size>	<size\=50>เจ้าหัวโล้นเน่าเหม็น เจ้าต่างหากที่เป็นสาวกมารร้าย เจ้าไม่มีสิทธิ์สวดพระอมิตาภะ!</size>
<size\=50>获得唐门之力</size>	<size\=50>ได้รับพลังแห่งสำนักถัง</size>
<size\=50>蛤！？</size>	<size\=50>หา!?</size>
<size\=50>说时迟，那时快！</size>	<size\=50>พูดยังไม่ทันขาดคำ เหตุการณ์ก็เกิดขึ้นแล้ว!</size>
<size\=50>请！</size>	<size\=50>เชิญ!</size>
<size\=50>谁问你了？闭嘴吧你，你到底哪根葱啊！</size>	<size\=50>ใครถามเจ้า? หุบปากไปเถอะ เจ้าเป็นใครกันแน่!</size>
<size\=50>谨遵帮主号令，护卫唐门大侠！</size>	<size\=50>นบนอบปฏิบัติตามบัญชาเจ้าพรรค พิทักษ์ท่านจอมยุทธ์แห่งสำนักถัง!</size>
<size\=50>谭某三人，仰慕唐门三大高手威名，特此登门讨教！</size>	<size\=50>ทันข้าน้อยรวมสามคน ยกย่องเลื่องชื่อสามยอดฝีมือแห่งสำนักถัง จึงขอเข้ามาเยือนเพื่อศึกษาวิชา!</size>
<size\=50>赵法王光驾青城，有失远迎，还请入观一叙。</size>	<size\=50>ท่านธรรมราชาจ้าวเสด็จเยือนชิงเฉิง ข้าน้อยมิได้ต้อนรับแต่ไกล ขอเชิญท่านเข้าไปในอารามสนทนากันก่อนเถิด</size>
<size\=50>赵活，入阵来！</size>	<size\=50>จ้าวหัว เข้าประจำแถวมา!</size>
<size\=50>赵逵！</size>	<size\=50>จ้าวขุย!</size>
<size\=50>道士下山，降妖除魔！</size>	<size\=50>นักพรตลงจากเขา ปราบปีศาจกำจัดมาร!</size>
<size\=50>那可不行！</size>	<size\=50>นั่นไม่ได้เด็ดขาด!</size>
<size\=50>那就不准去！！</size>	<size\=50>งั้นก็ห้ามไป!!</size>
<size\=50>那当然是赢！</size>	<size\=50>นั่นย่อมชนะอยู่แล้ว!</size>
